"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0U710","2020-03-14 00:00:00","1942.000","247.000","0.500","10.800","0.990","810.000","","0.500","-99.000","-99.000","-99.000","17.700","","10.800",""
"C0Z100","2020-03-14 00:00:00","36.000","51.000","1.000","19.900","0.990","1014.200","","11.500","-99.000","-99.000","-99.000","25.200","","17.700",""
"C0Z170","2020-03-14 00:00:00","199.000","0.000","0.000","21.500","0.990","995.000","","0.500","-99.000","-99.000","-99.000","26.400","","17.800",""
"C0H9A0","2020-03-14 00:00:00","1595.000","285.000","1.200","14.500","0.980","848.200","","8.000","-99.000","-99.000","-99.000","21.800","","13.300",""
"C0S840","2020-03-14 00:00:00","22.000","272.000","1.200","22.300","0.950","1015.300","","0.000","-99.000","-99.000","-99.000","27.600","","20.800",""
"C0Z150","2020-03-14 00:00:00","27.000","20.000","5.400","20.200","0.990","1013.900","","9.500","-99.000","-99.000","-99.000","23.700","","19.300",""
"C0W170","2020-03-14 00:00:00","42.000","45.000","5.800","13.800","0.900","1014.600","","7.500","-99.000","-99.000","-99.000","15.800","","12.800",""
"C0E540","2020-03-14 00:00:00","32.000","48.000","3.300","18.400","0.930","1014.300","","0.500","-99.000","-99.000","-99.000","27.100","","18.400",""
"C0D660","2020-03-14 00:00:00","65.000","-99.000","-99.000","17.200","0.920","1010.600","","13.000","-99.000","-99.000","-99.000","21.800","","17.200",""
"C0U650","2020-03-14 00:00:00","442.000","106.000","1.500","15.900","1.000","967.800","","7.000","-99.000","-99.000","-99.000","24.900","","15.900",""
"C0G810","2020-03-14 00:00:00","26.000","339.000","2.200","21.500","0.900","1012.700","","0.000","-99.000","-99.000","-99.000","28.900","","19.400",""
"C0F9Z0","2020-03-14 00:00:00","3193.000","342.000","3.500","5.700","0.970","697.100","","0.500","14.400","288.000","","7.900","","3.800",""
"C0M410","2020-03-14 00:00:00","245.000","352.000","1.400","20.900","0.940","983.500","","0.000","-99.000","-99.000","-99.000","30.100","","19.100",""
"C0I410","2020-03-14 00:00:00","180.000","5.000","1.900","20.900","0.910","994.600","","0.000","-99.000","-99.000","-99.000","28.900","","18.600",""
"C0R840","2020-03-14 00:00:00","536.000","64.000","1.400","19.700","-99.000","955.300","","0.000","-99.000","-99.000","-99.000","25.900","","19.700",""
